symbol,name,exchange
^MERV,MERVAL BUENOS AIRES,BUE
^TA100,TA-125,TLV
^ATX,ATX,VIE
^DJU,Dow Jones Utility Average,DJI
^AORD,ALL ORDINARIES,ASX
^AEX,AEX-INDEX,AMS
RTS.RS,RTSI INDEX,RUS
^XAX,NYSE AMEX COMPOSITE INDEX,NYS
399107.SZ,SHENZHEN INDEX A,SHZ
^DJA,Dow Jones Composite Average,DJI
^OSEAX,Oslo Bors All-share Index_GI,OSL
^NWX,NYSE ARCA NETWORKING INDEX,NYS
^TWOII,TOTC all stock subindex,TWO
^NQASPA8000LMAUDN,NASDAQ ASPA Financials Large Mi,
^HUI,NYSE ARCA GOLD BUGS INDEX,NYS
^FTAS,UK FTSE All Share,FSI
^FTAI,FTSE AIM All-Share Index,FGI
^DRG,NYSE ARCA PHARMACEUTICAL INDEX,NYS
^AXJO,S&P/ASX 200,ASX
^XBD,NYSE ARCA SECURITIES BROKER/DEA,NYS
^BTK,NYSE ARCA BIOTECH INDEX,NYS
^XMI,NYSE ARCA MAJOR MARKET INDEX,NYS
^XABQ,ABA NASDAQ Community Bank Total,
^REIT,Dow Jones Equity All REIT Total,DJI
^QAGR,NASDAQ OMX Global Agriculture,
^NQNA9000LMJPYN,NASDAQ N America Tech Large Mid,
^DAATR,NASDAQ US BROAD DIV ACHIEVR TR,
^AXSVTN,,
^ABAQ,ABA Community Bank NASDAQ,
MICEXINDEXCF.ME,MICEX IND,MCX
^VXAPL,CBOE EQUITY VIXON APPLE,WCB
^SBF250,CAC ALL-TRADABLE,PAR
^QIV,NASDAQ 100 After Hours Indicato,
^P1DOW,^P1DOW,DJI
^OSTI,TOTC steel and iron subindex,TWO
^OMXNORDICEURPI,OMX_Nordic_EUR_PI,STO
^NQZALMZARN,NASDAQ South Africa Large Mid C,
^NQZALMCAD,NASDAQ South Africa Large Mid C,
^NQUSL8700AUDT,NQ US Lg Cap Financial Svcs AUD,
^NQUSBLMAUDT,NASDAQ US Large Mid Cap AUD TR,
^NQUSBLMAUDN,NASDAQ US Large Mid Cap AUD NT,
^NQUSB8777LMAUDN,NQ US Inv Svcs Large Mid Cap A,
^NQUSB8777LMAUD,NQ US Inv Svcs Large Mid Cap A,
^NQUSB5371LMJPYN,NQ US Apparel Rtlrs Large Mid,
^NQUSB5371LMJPY,NQ US Apparel Rtlrs Large Mid,
^NQUSB3763LMGBPT,NQ US Clothing & Accessories L,
^NQUSB2795LMEURN,NQ US Financial Admin Large Mi,
^NQUSB2000LMAUD,NQ US Inds Large Mid Cap AUD I,
^NQNALMN,NASDAQ N America Large Mid Cap,
^NQNALMGBP,NASDAQ N America Large Mid Cap,
^NQNALMEUR,NASDAQ N America Large Mid Cap,
^NQNALMCAD,NASDAQ N America Large Mid Cap,
^NQNALM,NASDAQ N America Large Mid Cap,
^NQNA8300LM,NASDAQ N America Banks Large Mi,
^NQNA8000LMGBPN,NASDAQ N America Financials Lg,
^NQNA8000LMEURT,NASDAQ N America Financials Lg,
^NQNA5300LMAUD,NASDAQ N America Retail Lg Md C,
^NQNA5000LMJPYN,NASDAQ N America Cnsmr Svcs Lg,
^NQNA5000LMJPY,NASDAQ N America Cnsmr Svcs Lg,
^NQNA4000LMAUD,NASDAQ N America Health Care Lg,
^NQNA3700LMEURN,NASDAQ N America Psnl&Hhld Good,
^NQNA3000LMN,NASDAQ N America Cnsmr Goods Lg,
^NQNA2700LMN,NASDAQ N America Ind Goods & Sv,
^NQNA1000LMN,NASDAQ N America Basic Matls Lg,
^NQNA0001LMCADN,NASDAQ N America Oil & Gas Lg M,
^NQLALMAUD,NASDAQ Lat America Large Mid Ca,
^NQDXUSMLTCGN,Nasdaq AlphaDEX Multi Cap Growt,
^NQDXEU,NASDAQ AlphaDEX Europe Index,
^NQDXEMSC,NASDAQ AlphaDEX EM Small Cap In,
^NQDMXUSSCAUDT,NASDAQ Developed ex US SC TR AU,
^NQDMXGBLMAUD,NASDAQ DM Ex UK Large Mid Cap A,
^NQDMASPAXJPSCAUD,Nasdaq DM ASPA Ex Japan Small C,
^NQDMASPALMGBPN,NASDAQ DM ASPA Large Mid Cap GB,
^NQCALMAUD,NASDAQ Canada Large Mid Cap AUD,
^NQAULMN,NASDAQ Australia Large Mid Cap,
^NQATLMCADN,NASDAQ Austria Large Mid Cap CA,
^NQASPALMGBPN,NASDAQ ASPA Large Mid Cap GBP N,
^NQASPA8000LMEURN,NASDAQ ASPA Financials Large Mi,
^NQASPA8000LM,NASDAQ ASPA Financials Large Mi,
^NQASPA3500LMGBP,NASDAQ ASPA Food & Beverage Lg,
^NQASPA0001LMEUR,NASDAQ ASPA Oil & Gas Large Mid,
^GRNASIA,NASDAQ OMX Green Economy Asia U,
^FIRSTNORTHDKK,First North All-Share DKK,STO
^DWAPUT,Dow Jones Asia/Pacific Utilitie,DJI
^DRBSN,NASDAQ US Buyback Achievers Sel,
^DRBS,NASDAQ US Buyback Achievers Sel,
^DRBGT,NASDAQ Global Buyback Achievers,
^DRBG,NASDAQ Global Buyback Achievers,
^CSE,^CSE,CSE
^CSCSY,NASDAQ OMX Alpha CSCO vs. SPY,
^AXPJ,S&P/ASX 200 A-REIT,ASX
^AXHJ,S&P/ASX 200 Health Care,ASX
^AXGD,S&P/ASX All Ords Gold,ASX
^AXGAL,NYSE ARCA GLOBAL AIR LINE INDEX,NYS
^AXFJ,S&P/ASX 200 Financials,ASX
^AMZ,ALERIAN MLP INDEX,NYS
TMPS,"Tempus Applied Solutions Holdings, Inc.",PNK
SXAPD.Z,,
SDR15Y.SW,SBI Dom AAA-BBB 15+ Y,EBS
SA1AMVR.Z,,
PAX.PA,CAC ALL SHARES,PAR
INAX.DE,INAV IS.STX EUR 600 (DE),GER
IM25.BA,MERVAL 25 ARGENTINA,BUE
HTXHUF.VI,,
G7X4.DE,DAX+RISKTRIGRUS+ PF,GER
D8AG.DE,,
D1BM.DE,DAXPLUS FAMILY KURSINDEX,GER
ASX1770.L,,
ALL.PS,PHP INDEX ALL-SHARE,PHS
AAX.NX,,
5FUA.DE,INAVISHSTCBDEXFIUCH,GER
3BMO.DE,INAVISHS&P500EU,GER
SAA6UNR.Z,,
^NQLA1300JPYN,NASDAQ Lat America Chemicals JP,
SXSHIPTA.SG,,
WIAMERS1730.FGI,,
DH6W.DE,INAV DB X-T. TR CHF,GER
D8TW.DE,IN.IS.PHYS.SILVER ETC JPY,GER
^NQUSB5752LMAUDT,NQ US Gambling Large Mid Cap A,
^NQASIA6000LMJPYT,NASDAQ Asia Telecom Large Mid C,
^NQDMASIA1700JPYN,NASDAQ DM Asia Basic Resources,
V2J3.DE,,
4N6Z.DE,DAXSUB ALL RETI K,GER
^NQUSB0587CADN,NQ US Bnchmk Alternative Fuels,
^NQUSM9000AUDT,NQ US Md Cap Tech AUD TR Index,
^NQUSB5373AUDN,NQ US Bnchmk Broadline Rtlrs AU,
S63Y.SW,SBI Sec CB Mixed Assets Y,EBS
^NQUSS8771GBP,NQ US Sm Cap Asset Managers GBP,
^NQNAMCCADN,NASDAQ N America Mid Cap CAD NT,
^NQDM7000AUD,NASDAQ Developed Utilities AUD,
^NQG6000AUDN,NASDAQ Global Telecom AUD NTR I,
^NQEMMEA2000AUDT,NASDAQ EM MEA Inds AUD TR Index,
^NQASPA3500LMT,NASDAQ ASPA Food & Beverage Lg,
^NQEMASIA9000EUR,NASDAQ EM Asia Tech EUR Index,
^NQDMASIA6000LM,NASDAQ DM Asia Telecom Large Mi,
^NQLA7000GBPN,NASDAQ Lat America Utilities GB,
31651175.SG,,
^NQASIA4000,The NASDAQ Asia Health Care Ind,
^NQAU7000GBP,NASDAQ Australia Utilities GBP,
4Q5W.DE,INAV DE.ESTX SE.DIV.30 EO,GER
^SPAENAUP,S&P Agribusiness North America,SNP
SBFR2T.SW,SBI For AA T,EBS
^NQDMASPA5500GBPN,NASDAQ DM ASPA Media GBP NTR In,
^NQDMXNASCAUDT,NASDAQ Developed ex North Ameri,
WIAMERS1000.FGI,,
^NQLA5000LM,NASDAQ Lat America Cnsmr Svcs L,
ST13Y.SW,SBI AAA-BBB 1-3 Y,EBS
^NQDMASPA4000JPY,NASDAQ DM ASPA Health Care JPY,
^NQG2300AUDT,NASDAQ Global Constr & Matls AU,
SG71P.SW,SBI Dom Gov 7-10 P,EBS
^NQDMXUS2000AUDN,NASDAQ DM Ex US Industrials AUD,
^NQLALMCADN,NASDAQ Lat America Large Mid Ca,
^NQDMEU3300LMEUR,NASDAQ DM Europe Auto & Parts L,
^NQG3300AUDN,NASDAQ Global Auto & Parts AUD,
^NQEMMEA8500AUD,NASDAQ EM MEA Ins AUD Index,
AEXSH.NX,,
^NQNA8300JPYT,NASDAQ N America Banks JPY TR I,
^NQLALCCADT,NASDAQ Lat America Large Cap CA,
4MW2.DE,INAVISHSTXEU50UJPY,GER
^NQNA8500T,The NASDAQ North America Insura,
^SP500-25102010,S&P 500 Automobile Manufacturer,SNP
SFR15Y.SW,SBI For AAA-BBB 15+ Y,EBS
^NQLA8300LMGBP,NASDAQ Lat America Banks Lg Md,
WIAMERS2710.L,,
^NQTW0001AUDT,NASDAQ Taiwan Oil & Gas AUD TR,
NZREG.NZ,S&P/NZX ALL REAL ESTATE (INDUST,NZE
LZPL.DE,INAV DB X-T D600 HC,GER
^NQMEA8500LMAUDN,NASDAQ MEA Ins Large Mid Cap AU,
^NQNA3000LMT,NASDAQ N America Cnsmr Goods Lg,
23576012.SG,,
^DWMFCGT,^DWMFCGT,DJI
